/home/jegou/SemProj2/venvs/myenv/lib/python3.10/site-packages/gymnasium/wrappers/record_video.py:94: UserWarning: [33mWARN: Overwriting existing videos at /home/jegou/SemProj2/videoRL folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)[0m
  logger.warn(
Moviepy - Building video /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4.
Moviepy - Writing video /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4

t:   0%|          | 0/62 [00:00<?, ?it/s, now=None]t:   3%|▎         | 2/62 [00:00<00:09,  6.37it/s, now=None]t:   5%|▍         | 3/62 [00:00<00:08,  7.36it/s, now=None]t:  52%|█████▏    | 32/62 [00:00<00:00, 93.46it/s, now=None]t:  98%|█████████▊| 61/62 [00:00<00:00, 152.72it/s, now=None]                                                             Moviepy - Done !
Moviepy - video ready /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4
[Episode    0] total reward = 25.831388, length = 60

[    0 /  3001]
----------------------------------
actor loss = 13.733689
critic loss = 1499.776367
entropy = 8.448282
mean return = 0.129157
mean length = 0.30

Saving the model ... Done.

[Episode  202] total reward = 17.687771, length = 43
[Episode  203] total reward = 175.531265, length = 310
[Episode  204] total reward = 22.590626, length = 54
[Episode  205] total reward = 28.269377, length = 62
[Episode  206] total reward = 34.736073, length = 71
[Episode  207] total reward = 25.671534, length = 54
[Episode  208] total reward = 25.300161, length = 58
[Episode  209] total reward = 62.115959, length = 150
[Episode  210] total reward = 34.468567, length = 73
[Episode  211] total reward = 27.997501, length = 66
[Episode  212] total reward = 247.857452, length = 455
[Episode  213] total reward = 46.767384, length = 105
[Episode  214] total reward = 24.723217, length = 55
[Episode  215] total reward = 30.258789, length = 72
[Episode  216] total reward = 36.561935, length = 80
[Episode  217] total reward = 29.732420, length = 63
[Episode  218] total reward = 26.960869, length = 64
[Episode  219] total reward = 65.149536, length = 152
[Episode  220] total reward = 131.170166, length = 246
[Episode  221] total reward = 29.880936, length = 68
[Episode  222] total reward = 277.894104, length = 500
[Episode  223] total reward = 32.998459, length = 72
[Episode  224] total reward = 33.207100, length = 72
[Episode  225] total reward = 54.453617, length = 117
[Episode  226] total reward = 33.151009, length = 71
[Episode  227] total reward = 278.051270, length = 500
[Episode  228] total reward = 221.595490, length = 500
[Episode  229] total reward = 272.439941, length = 500
[Episode  230] total reward = 271.233490, length = 500
[Episode  231] total reward = 152.904678, length = 281
[Episode  232] total reward = 47.997486, length = 117
[Episode  233] total reward = 24.483246, length = 59
[Episode  234] total reward = 113.802254, length = 232
[Episode  235] total reward = 25.293144, length = 61
[Episode  236] total reward = 25.052353, length = 54
[Episode  237] total reward = 285.108521, length = 500
[Episode  238] total reward = 29.098965, length = 66
[Episode  239] total reward = 31.002022, length = 73
[Episode  240] total reward = 274.712158, length = 500
[Episode  241] total reward = 30.209301, length = 70
[Episode  242] total reward = 22.276041, length = 51
[Episode  243] total reward = 23.098219, length = 55
[Episode  244] total reward = 37.203552, length = 74
[Episode  245] total reward = 106.528534, length = 214
[Episode  246] total reward = 49.022732, length = 119
[Episode  247] total reward = 31.986795, length = 79
[Episode  248] total reward = 27.304533, length = 59
[Episode  249] total reward = 25.272209, length = 58
[Episode  250] total reward = 276.423767, length = 500
[Episode  251] total reward = 35.899563, length = 75
[Episode  252] total reward = 28.249258, length = 61
[Episode  253] total reward = 36.263824, length = 81
[Episode  254] total reward = 38.190269, length = 82
[Episode  255] total reward = 26.904131, length = 60
[Episode  256] total reward = 228.720276, length = 500
[Episode  257] total reward = 29.119225, length = 64
[Episode  258] total reward = 24.853893, length = 68
[Episode  259] total reward = 79.870377, length = 201
[Episode  260] total reward = 221.213715, length = 500
[Episode  261] total reward = 25.359575, length = 54
[Episode  262] total reward = 51.290985, length = 109
[Episode  263] total reward = 20.819256, length = 50
[Episode  264] total reward = 35.767685, length = 75
[Episode  265] total reward = 106.690674, length = 218
[Episode  266] total reward = 35.037445, length = 73
[Episode  267] total reward = 17.076097, length = 42
[Episode  268] total reward = 19.918676, length = 49
[Episode  269] total reward = 42.592583, length = 108
[Episode  270] total reward = 279.608978, length = 500
[Episode  271] total reward = 18.381298, length = 45
[Episode  272] total reward = 20.146095, length = 45
[Episode  273] total reward = 50.787193, length = 106
[Episode  274] total reward = 18.094486, length = 45
[Episode  275] total reward = 46.347023, length = 110
[Episode  276] total reward = 273.105713, length = 500
[Episode  277] total reward = 15.286682, length = 40
[Episode  278] total reward = 23.597048, length = 50
[Episode  279] total reward = 33.607365, length = 76
[Episode  280] total reward = 42.828514, length = 89
[Episode  281] total reward = 221.651474, length = 500
[Episode  282] total reward = 109.401535, length = 247
[Episode  283] total reward = 276.442963, length = 500
[Episode  284] total reward = 23.677019, length = 53
[Episode  285] total reward = 64.862381, length = 141
[Episode  286] total reward = 224.100403, length = 500
[Episode  287] total reward = 27.472260, length = 65
[Episode  288] total reward = 173.343658, length = 423
[Episode  289] total reward = 37.048210, length = 83
[Episode  290] total reward = 218.191559, length = 500
[Episode  291] total reward = 220.153061, length = 500
[Episode  292] total reward = 273.825500, length = 500
