id,type,group_name,target
17133,Ti flexor MN,,['LegNpT1_L']
17135,IN03A007,,['LegNpT3_L']
17137,Tr flexor MN,,['LegNpT3_R']
17140,IN03A007,,['LegNpT2_L']
17161,IN01A038,,"['IntTct', 'LegNpT1_L', 'LegNpT1_R']"
17176,Sternal anterior rotator MN,,"['DProNL', 'LegNpT1_L', 'VProNL']"
17213,IN19A029,,['LegNpT1_L']
17222,IN19A029,,['LegNpT1_R']
17226,Tr flexor MN,,['LegNpT1_L']
17251,IN17A061,4_ACH_sets_2(24),['LegNpT2_L']
17264,IN03A007,,['LegNpT1_R']
17332,IN03A007,,"['LegNpT1_L', 'LegNpT1_R']"
17343,IN03A007,,['LegNpT3_R']
17345,IN03A007,,['LegNpT1_L']
17397,IN16B041,2_GLU_sets(12),['LegNpT2_L']
17403,IN16B018,,"['LegNpT2_L', 'OvL']"
17435,IN04B031,14B_ACH_sets(12),['LegNpT2_R']
17443,IN03A007,,['LegNpT2_R']
17473,IN01A038,,"['LegNpT3_L', 'LegNpT3_R']"
17525,IN03A007,,"['LegNpT2_R', 'OvR']"
17574,IN03A007,,['LegNpT3_R']
17598,IN03A007,,['LegNpT3_L']
17665,IN03A007,,['LegNpT1_L']
17693,Acc. tr flexor MN,,"['LegNpT3_R', 'MetaLNR']"
17709,IN13A042,13A_GABA_sets(32),['LegNpT1_L']
17726,IN19A015,,['LegNpT3_L']
17739,IN03A007,,['LegNpT3_R']
17741,IN03A007,,"['IntTct', 'LegNpT1_L']"
17754,IN03A007,,['LegNpT2_L']
17802,IN04B037,14B_ACH_sets(12),['LegNpT3_L']
17813,IN13A021,,['LegNpT1_R']
17867,IN03A007,,"['LegNpT1_L', 'LegNpT1_R']"
17876,IN03A007,,['LegNpT3_R']
17885,Acc. ti flexor MN,,['LegNpT1_L']
17917,IN03A007,,['LegNpT1_L']
17930,Tr extensor MN,,"['LegNpT2_R', 'MesoANR', 'MesoLNR']"
17947,Sternal posterior rotator MN,,"['LegNpT3_R', 'MetaLNR']"
17953,IN03A007,,"['LegNpT1_L', 'LegNpT1_R']"
17958,IN03A007,,['LegNpT3_R']
17962,IN03A007,,['LegNpT2_L']
18006,Sternotrochanter MN,,"['CV', 'LegNpT1_R']"
18007,IN03A007,,['LegNpT3_L']
18089,IN13A021,,['LegNpT1_R']
18132,IN01A038,,"['CV', 'LegNpT1_L', 'LegNpT1_R']"
18137,IN13A010,2_GABA_sets_2(12),['LegNpT1_R']
18144,IN03A007,,"['LegNpT2_L', 'LegNpT2_R', 'OvR']"
18168,IN13A021,,['LegNpT1_L']
18194,IN03A007,,"['LegNpT3_L', 'LegNpT3_R']"
18236,IN03A007,,"['LegNpT3_L', 'LegNpT3_R']"
18246,IN13A021,,['LegNpT1_L']
18286,Pleural remotor/abductor MN,,['LegNpT3_L']
18322,IN03A007,,['LegNpT3_L']
18394,IN03A007,,['LegNpT1_L']
18412,Acc. ti flexor MN,,"['LegNpT1_L', 'ProLNL']"
18413,IN03A007,,"['LegNpT1_L', 'LegNpT1_R']"
18440,Tr flexor MN,,['LegNpT1_R']
18443,IN03A007,,['LegNpT3_R']
18448,Ti flexor MN,,['LegNpT2_R']
18471,Sternal anterior rotator MN,,"['LegNpT3_L', 'MetaLNL']"
18479,IN03A007,,['LegNpT2_R']
18488,IN03A007,,['LegNpT3_L']
18491,Ti flexor MN,,['LegNpT3_R']
18501,IN20A.22A001,2_ACH_sets(18),['LegNpT2_L']
18504,IN03A007,,"['LegNpT3_L', 'LegNpT3_R']"
18520,IN03A007,,"['LegNpT1_L', 'LegNpT1_R']"
18529,IN16B018,,['LegNpT1_L']
18554,Acc. ti flexor MN,,['LegNpT1_L']
18562,IN03A007,,['LegNpT2_L']
18579,Sternotrochanter MN,,"['DProNL', 'LegNpT1_L', 'VProNL']"
18595,IN03A007,,['LegNpT3_L']
18605,IN04B031,14B_ACH_sets(12),['LegNpT1_L']
18625,IN03A007,,['LegNpT3_L']
18664,Acc. ti flexor MN,,"['LegNpT2_R', 'MesoLNR']"
18697,IN03A007,,['LegNpT1_L']
18712,IN04B037,14B_ACH_sets(12),['LegNpT1_R']
18716,Sternotrochanter MN,,"['LegNpT2_R', 'MesoLNR']"
